date,mode,pcs
1982-05-22,9,-126.02718
1982-05-23,0,-148.73117
1982-05-23,1,-300.55057
1982-05-23,2,13.03957
1982-05-23,3,-197.20976
1982-05-23,4,3.2934718
1982-05-23,5,-18.435942
1982-05-23,6,-128.8355
1982-05-23,7,106.96967
1982-05-23,8,81.28943
1982-05-23,9,-1.6066084
1982-05-24,0,-207.5489
1982-05-24,1,-626.4409
1982-05-24,2,117.095825
1982-05-24,3,-432.32916
1982-05-24,4,80.60258
1982-05-24,5,-85.20783
1982-05-24,6,94.6415
1982-05-24,7,81.00667
1982-05-24,8,114.97606
1982-05-24,9,-61.923958
1982-05-25,0,-93.02006
1982-05-25,1,-621.7492
1982-05-25,2,78.43536
1982-05-25,3,-588.29443
1982-05-25,4,153.9518
1982-05-25,5,-131.04547
1982-05-25,6,71.8698
1982-05-25,7,58.49399
1982-05-25,8,-55.331844
1982-05-25,9,-89.96496
1982-05-26,0,-133.6399
1982-05-26,1,-133.88206
1982-05-26,2,93.00454
1982-05-26,3,-518.7257
1982-05-26,4,-113.1562
1982-05-26,5,-16.589756
1982-05-26,6,-83.25493
1982-05-26,7,181.17747
1982-05-26,8,-223.45499
1982-05-26,9,99.01885
1982-05-27,0,-365.04062
1982-05-27,1,240.42476
1982-05-27,2,161.43637
1982-05-27,3,-133.25175
1982-05-27,4,-365.8144
1982-05-27,5,-90.84579
1982-05-27,6,-201.37929
1982-05-27,7,141.10852
1982-05-27,8,-106.41735
1982-05-27,9,207.22139
1982-05-28,0,-567.2508
1982-05-28,1,214.97751
1982-05-28,2,100.06119
1982-05-28,3,-148.05502
1982-05-28,4,-210.17525
1982-05-28,5,-106.028206
1982-05-28,6,-92.5147
1982-05-28,7,-86.03479
1982-05-28,8,220.6327
1982-05-28,9,162.28186
1982-05-29,0,-605.4115
1982-05-29,1,130.02951
1982-05-29,2,274.25003
1982-05-29,3,-98.88934
1982-05-29,4,-230.71149
1982-05-29,5,41.64731
1982-05-29,6,-23.51797
1982-05-29,7,-281.85693
1982-05-29,8,155.79095
1982-05-29,9,-40.966698
1982-05-30,0,-461.23767
1982-05-30,1,240.88562
1982-05-30,2,355.96606
1982-05-30,3,32.37
1982-05-30,4,-120.70321
1982-05-30,5,111.237724
1982-05-30,6,290.6438
1982-05-30,7,-263.8519
1982-05-30,8,106.811615
1982-05-30,9,-111.20644
1982-05-31,0,-349.3803
1982-05-31,1,-73.67549
1982-05-31,2,331.14944
1982-05-31,3,28.730747
1982-05-31,4,-183.59671
1982-05-31,5,92.32961
1982-05-31,6,130.68623
1982-05-31,7,-243.43976
1982-05-31,8,-42.192535
1982-05-31,9,-156.70728
1982-06-01,0,-167.25392
1982-06-01,1,17.271036
1982-06-01,2,304.84167
1982-06-01,3,342.74252
1982-06-01,4,-227.63037
1982-06-01,5,-220.89854
1982-06-01,6,53.28926
1982-06-01,7,-299.99304
1982-06-01,8,-117.58485
1982-06-01,9,-157.25137
1983-05-17,0,920.8089
