date,mode,pcs
1982-05-19,6,2677.1006
1982-05-19,7,-1070.6582
1982-05-19,8,1285.9453
1982-05-19,9,-965.1186
1982-05-20,0,-1053.6803
1982-05-20,1,156.57806
1982-05-20,2,3203.462
1982-05-20,3,676.9582
1982-05-20,4,-528.6597
1982-05-20,5,-2249.1284
1982-05-20,6,1743.6487
1982-05-20,7,868.03125
1982-05-20,8,445.40527
1982-05-20,9,-142.26949
1982-05-21,0,1147.628
1982-05-21,1,-2059.9219
1982-05-21,2,464.13745
1982-05-21,3,-2330.3032
1982-05-21,4,66.355354
1982-05-21,5,-2446.3032
1982-05-21,6,-591.96246
1982-05-21,7,697.38025
1982-05-21,8,-1046.4747
1982-05-21,9,-1071.9304
1982-05-22,0,3989.3887
1982-05-22,1,271.36517
1982-05-22,2,-517.5482
1982-05-22,3,-2634.054
1982-05-22,4,-917.13416
1982-05-22,5,412.25162
1982-05-22,6,-525.0314
1982-05-22,7,-621.89453
1982-05-22,8,65.43144
1982-05-22,9,-1191.5233
1982-05-23,0,4715.8994
1982-05-23,1,1854.4392
1982-05-23,2,-435.68063
1982-05-23,3,-2032.5854
1982-05-23,4,-209.10983
1982-05-23,5,1122.9617
1982-05-23,6,965.51044
1982-05-23,7,-2698.2195
1982-05-23,8,81.00728
1982-05-23,9,-1234.9991
1982-05-24,0,4470.0684
1982-05-24,1,1431.9169
1982-05-24,2,1873.5419
1982-05-24,3,-2864.4045
1982-05-24,4,433.86978
1982-05-24,5,1750.228
1982-05-24,6,1958.843
1982-05-24,7,-745.81586
1982-05-24,8,-541.81537
1982-05-24,9,-869.0231
1982-05-25,0,1637.0493
1982-05-25,1,-748.53564
1982-05-25,2,453.12396
1982-05-25,3,-2528.3923
1982-05-25,4,-1411.622
1982-05-25,5,1342.6715
1982-05-25,6,2541.7732
1982-05-25,7,628.9266
1982-05-25,8,-1489.5017
1982-05-25,9,-71.99762
1982-05-26,0,-3914.7446
1982-05-26,1,553.3643
1982-05-26,2,-2055.09
1982-05-26,3,-931.97455
1982-05-26,4,-1623.0984
1982-05-26,5,1234.6982
1982-05-26,6,3539.7104
1982-05-26,7,191.88467
1982-05-26,8,-1718.7076
1982-05-26,9,-288.24292
1982-05-27,0,-5629.187
1982-05-27,1,2698.9094
1982-05-27,2,-2443.6387
1982-05-27,3,-954.8783
1982-05-27,4,-2061.34
1982-05-27,5,831.12396
1982-05-27,6,2481.8215
1982-05-27,7,-198.81851
1982-05-27,8,-657.41785
1982-05-27,9,-779.52765
1982-05-28,0,-3454.3596
1982-05-28,1,3406.0242
1982-05-28,2,-507.27975
1982-05-28,3,-2119.4517
1982-05-28,4,-1229.1675
1982-05-28,5,669.13025
1982-05-28,6,1350.8525
1982-05-28,7,-1039.5902
1982-05-28,8,1002.5803
1982-05-28,9,-814.8862
1982-05-29,0,-3472.518
1982-05-29,1,2869.0137
1982-05-29,2,1806.4026
1982-05-29,3,-2304.185
1982-05-29,4,120.97101
1982-05-29,5,737.56537
1982-05-29,6,694.01105
1982-05-29,7,125.64882
1982-05-29,8,-492.63882
1982-05-29,9,-94.05421
1982-05-30,0,-5330.7124
1982-05-30,1,171.11229
1982-05-30,2,1062.4958
1982-05-30,3,-1524.6042
1982-05-30,4,-434.7248
1982-05-30,5,699.62103
1982-05-30,6,441.7118
1982-05-30,7,-34.58625
1982-05-30,8,94.53848
1982-05-30,9,163.42639
1982-05-31,0,-3846.2578
1982-05-31,1,-1825.6233
1982-05-31,2,1518.7572
1982-05-31,3,-3691.0767
1982-05-31,4,-1065.5884
1982-05-31,5,-395.2726
1982-05-31,6,-695.6266
1982-05-31,7,985.72876
1982-05-31,8,-565.8465
1982-05-31,9,596.38446
1982-06-01,0,-3261.4692
1982-06-01,1,-3647.8816
1982-06-01,2,1393.5615
1982-06-01,3,-381.80267
1982-06-01,4,-1615.3279
1982-06-01,5,1419.2158
1982-06-01,6,-288.5103
1982-06-01,7,-1099.9325
1982-06-01,8,83.09092
1982-06-01,9,554.67206
1983-05-17,0,2499.8396
1983-05-17,1,-684.056
1983-05-17,2,-1035.7043
1983-05-17,3,-2389.827
1983-05-17,4,3559.5217
1983-05-17,5,-1940.7303
1983-05-17,6,830.9356
1983-05-17,7,-231.60475
1983-05-17,8,1181.3018
1983-05-17,9,226.37418
1983-05-18,0,5795.784
1983-05-18,1,2701.6216
1983-05-18,2,2139.5586
1983-05-18,3,-2741.672
1983-05-18,4,2178.003
1983-05-18,5,-1178.6155
1983-05-18,6,168.57578
1983-05-18,7,294.89474
1983-05-18,8,-754.4745
1983-05-18,9,2491.6182
1983-05-19,0,5764.856
