date,mode,pcs,tor
1986-05-18,8,-80.40555,False
1986-05-18,9,7.375967,False
1986-05-19,0,126.990845,False
1986-05-19,1,-383.854,False
1986-05-19,2,339.3082,False
1986-05-19,3,-74.531944,False
1986-05-19,4,-391.51047,False
1986-05-19,5,-160.77847,False
1986-05-19,6,-94.7391,False
1986-05-19,7,195.3003,False
1986-05-19,8,-123.678856,False
1986-05-19,9,-21.421125,False
1986-05-20,0,46.1257,False
1986-05-20,1,-154.87158,False
1986-05-20,2,54.828777,False
1986-05-20,3,60.2125,False
1986-05-20,4,-571.5908,False
1986-05-20,5,-402.8333,False
1986-05-20,6,-159.7066,False
1986-05-20,7,63.4253,False
1986-05-20,8,-109.82288,False
1986-05-20,9,30.073086,False
1986-05-21,0,17.86988,False
1986-05-21,1,287.9665,False
1986-05-21,2,-102.941895,False
1986-05-21,3,208.5351,False
1986-05-21,4,-685.8948,False
1986-05-21,5,-474.45526,False
1986-05-21,6,-226.64233,False
1986-05-21,7,21.068321,False
1986-05-21,8,-40.159725,False
1986-05-21,9,101.78967,False
1986-05-22,0,60.366142,False
1986-05-22,1,596.867,False
1986-05-22,2,-15.52836,False
1986-05-22,3,48.84364,False
1986-05-22,4,-753.3493,False
1986-05-22,5,-286.7859,False
1986-05-22,6,-132.86981,False
1986-05-22,7,19.42501,False
1986-05-22,8,284.4164,False
1986-05-22,9,36.51571,False
1986-05-23,0,117.49664,False
1986-05-23,1,412.4425,False
1986-05-23,2,121.17946,False
1986-05-23,3,-199.72136,False
1986-05-23,4,-634.5024,False
1986-05-23,5,4.6733623,False
1986-05-23,6,118.84407,False
1986-05-23,7,-43.49563,False
1986-05-23,8,220.91621,False
1986-05-23,9,-23.503363,False
1986-05-24,0,21.816769,True
1986-05-24,1,51.019688,True
1986-05-24,2,56.885586,True
1986-05-24,3,-198.86557,True
1986-05-24,4,-338.27853,True
1986-05-24,5,93.792465,True
1986-05-24,6,165.42674,True
1986-05-24,7,-213.0056,True
1986-05-24,8,-55.090607,True
1986-05-24,9,89.33202,True
1986-05-25,0,5.735786,False
1986-05-25,1,-572.5484,False
1986-05-25,2,-173.32695,False
1986-05-25,3,-243.64027,False
1986-05-25,4,-139.87115,False
1986-05-25,5,111.24424,False
1986-05-25,6,36.375076,False
1986-05-25,7,-267.05557,False
1986-05-25,8,-257.03632,False
1986-05-25,9,164.57176,False
1986-05-26,0,-67.176414,False
1986-05-26,1,-807.5597,False
1986-05-26,2,-304.40698,False
1986-05-26,3,-356.0429,False
1986-05-26,4,-308.13464,False
1986-05-26,5,-48.848644,False
1986-05-26,6,-84.864006,False
1986-05-26,7,-305.75296,False
1986-05-26,8,-368.36273,False
1986-05-26,9,136.81479,False
1986-05-27,0,-199.26376,False
1986-05-27,1,-672.9128,False
1986-05-27,2,-344.5804,False
1986-05-27,3,-518.36584,False
1986-05-27,4,-341.05746,False
1986-05-27,5,-217.24422,False
1986-05-27,6,-307.49692,False
1986-05-27,7,-141.30983,False
1986-05-27,8,-358.09366,False
1986-05-27,9,113.993225,False
1986-05-28,0,-117.26597,False
1986-05-28,1,-630.55054,False
1986-05-28,2,-340.40366,False
1986-05-28,3,-537.80884,False
1986-05-28,4,-78.86053,False
1986-05-28,5,-163.77367,False
1986-05-28,6,-424.8312,False
1986-05-28,7,-41.399914,False
1986-05-28,8,-232.56105,False
1986-05-28,9,50.308994,False
1986-05-29,0,-280.96295,False
1986-05-29,1,-843.846,False
1986-05-29,2,-484.31982,False
1986-05-29,3,-684.5142,False
1986-05-29,4,121.491066,False
1986-05-29,5,37.570633,False
1986-05-29,6,-290.49915,False
1986-05-29,7,-208.64746,False
1986-05-29,8,-319.91415,False
1986-05-29,9,18.66494,False
1986-05-30,0,-149.50378,False
1986-05-30,1,-969.6966,False
1986-05-30,2,-434.4356,False
1986-05-30,3,-553.2693,False
1986-05-30,4,325.8566,False
1986-05-30,5,-50.938232,False
1986-05-30,6,-165.13347,False
1986-05-30,7,-136.39772,False
1986-05-30,8,-140.36588,False
1986-05-30,9,-2.099915,False
1986-05-31,0,139.76506,False
1986-05-31,1,-868.10535,False
1986-05-31,2,-394.89755,False
1986-05-31,3,-469.68008,False
1986-05-31,4,444.2761,False
1986-05-31,5,-85.86849,False
1986-05-31,6,-181.42229,False
1986-05-31,7,63.309277,False
1986-05-31,8,-15.344766,False
1986-05-31,9,-52.381523,False
1987-05-17,0,-204.1198,True
1987-05-17,1,-0.4765308,True
1987-05-17,2,-380.98434,True
1987-05-17,3,-221.2527,True
1987-05-17,4,271.00256,True
1987-05-17,5,-51.03383,True
1987-05-17,6,-9.616192,True
1987-05-17,7,341.70206,True
1987-05-17,8,-216.39941,True
1987-05-17,9,-46.72327,True
1987-05-18,0,-282.52704,True
