date,mode,pcs
1983-05-23,2,586.2211
1983-05-23,3,-10.255207
1983-05-23,4,14.1929245
1983-05-24,0,705.44586
1983-05-24,1,-428.98175
1983-05-24,2,210.12187
1983-05-24,3,97.4413
1983-05-24,4,-29.764544
1983-05-25,0,747.7267
1983-05-25,1,-464.53375
1983-05-25,2,-20.600445
1983-05-25,3,67.15735
1983-05-25,4,-45.434162
1983-05-26,0,887.07587
1983-05-26,1,-358.16226
1983-05-26,2,21.928186
1983-05-26,3,-10.967669
1983-05-26,4,-151.18402
1983-05-27,0,944.1528
1983-05-27,1,-305.49533
1983-05-27,2,-198.38
1983-05-27,3,-110.15607
1983-05-27,4,-242.14354
1983-05-28,0,814.5769
1983-05-28,1,-560.0298
1983-05-28,2,-370.3079
1983-05-28,3,-160.30867
1983-05-28,4,-4.1680913
1983-05-29,0,949.74054
1983-05-29,1,-774.8494
1983-05-29,2,-133.6594
1983-05-29,3,-16.099108
1983-05-29,4,186.3523
1983-05-30,0,1028.3822
1983-05-30,1,-547.94324
1983-05-30,2,331.3133
1983-05-30,3,-95.05455
1983-05-30,4,-232.41617
1983-05-31,0,1047.9127
1983-05-31,1,64.89916
1983-05-31,2,580.1144
1983-05-31,3,-289.2296
1983-05-31,4,-451.44724
1983-06-01,0,902.1062
1983-06-01,1,628.39856
1983-06-01,2,542.15125
1983-06-01,3,-223.90755
1983-06-01,4,-225.94319
1984-05-17,0,334.66016
1984-05-17,1,777.5114
1984-05-17,2,-732.3588
1984-05-17,3,-339.77185
1984-05-17,4,-68.698875
1984-05-18,0,24.968582
1984-05-18,1,181.1602
1984-05-18,2,-512.95807
1984-05-18,3,-201.44592
1984-05-18,4,1.8420588
1984-05-19,0,208.9666
1984-05-19,1,-303.58755
1984-05-19,2,-237.62988
1984-05-19,3,-74.008385
1984-05-19,4,0.61705047
1984-05-20,0,445.87985
1984-05-20,1,-197.5677
1984-05-20,2,-105.60413
1984-05-20,3,158.46523
1984-05-20,4,-115.73172
1984-05-21,0,181.51245
1984-05-21,1,175.84499
1984-05-21,2,105.70703
1984-05-21,3,272.85974
1984-05-21,4,-291.54044
1984-05-22,0,-271.49048
1984-05-22,1,29.918285
1984-05-22,2,532.85443
1984-05-22,3,286.598
1984-05-22,4,-365.39917
1984-05-23,0,-108.31757
1984-05-23,1,-553.75287
1984-05-23,2,432.8141
1984-05-23,3,773.9882
1984-05-23,4,-250.64397
1984-05-24,0,217.886
1984-05-24,1,-186.12848
1984-05-24,2,-170.15155
1984-05-24,3,848.05975
1984-05-24,4,6.1711607
1984-05-25,0,-126.7599
1984-05-25,1,22.795025
1984-05-25,2,310.9306
1984-05-25,3,583.7723
1984-05-25,4,76.82113
1984-05-26,0,1.1754478
1984-05-26,1,-141.87451
1984-05-26,2,800.3668
1984-05-26,3,544.26447
1984-05-26,4,-93.36544
1984-05-27,0,347.1716
1984-05-27,1,-299.39612
1984-05-27,2,622.0272
1984-05-27,3,517.1035
1984-05-27,4,250.25545
1984-05-28,0,230.50818
1984-05-28,1,-796.88043
1984-05-28,2,304.54602
1984-05-28,3,274.71658
1984-05-28,4,365.42233
1984-05-29,0,209.6776
1984-05-29,1,-1118.6478
1984-05-29,2,88.35194
1984-05-29,3,283.76877
1984-05-29,4,76.70466
1984-05-30,0,439.2454
1984-05-30,1,-863.8586
1984-05-30,2,-102.709564
1984-05-30,3,281.44254
1984-05-30,4,-262.54465
1984-05-31,0,466.97775
1984-05-31,1,-142.45486
1984-05-31,2,-335.47406
1984-05-31,3,386.66953
1984-05-31,4,-420.39468
1984-06-01,0,323.32767
1984-06-01,1,154.13536
1984-06-01,2,-332.95435
1984-06-01,3,108.34729
1984-06-01,4,-260.60516
1985-05-17,0,636.5202
1985-05-17,1,27.6029
1985-05-17,2,-215.67738
1985-05-17,3,-231.10164
1985-05-17,4,-188.53261
1985-05-18,0,1332.8453
1985-05-18,1,339.5406
1985-05-18,2,-260.73724
1985-05-18,3,-417.08194
1985-05-18,4,-229.1397
1985-05-19,0,1416.6185
1985-05-19,1,576.90173
1985-05-19,2,-73.738106
1985-05-19,3,-497.61496
1985-05-19,4,-68.931694
1985-05-20,0,828.8873
1985-05-20,1,480.26486
