date,mode,pcs
1995-05-23,3,-274.9445
1995-05-23,4,-127.90235
1995-05-27,0,187.80865
1995-05-27,1,-4.176021
1995-05-27,2,223.69707
1995-05-27,3,-351.93396
1995-05-27,4,235.08406
1995-06-01,0,169.72682
1995-06-01,1,-396.78235
1995-06-01,2,-35.47569
1995-06-01,3,30.225376
1995-06-01,4,249.87628
1996-05-23,0,-294.98578
1996-05-23,1,732.3813
1996-05-23,2,108.52992
1996-05-23,3,19.990602
1996-05-23,4,-185.89243
1996-05-25,0,140.21384
1996-05-25,1,277.1764
1996-05-25,2,-184.72124
1996-05-25,3,-1075.1404
1996-05-25,4,10.86572
1996-05-26,0,-49.45269
1996-05-26,1,200.81836
1996-05-26,2,-200.77153
1996-05-26,3,-823.20715
1996-05-26,4,137.88647
1996-05-27,0,-178.41222
1996-05-27,1,252.32263
1996-05-27,2,104.17294
1996-05-27,3,-380.39346
1996-05-27,4,179.24538
1996-05-31,0,-76.84419
1996-05-31,1,581.3612
1996-05-31,2,-347.7076
1996-05-31,3,31.477638
1996-05-31,4,296.5143
1996-06-01,0,212.4243
1996-06-01,1,0.29004243
1996-06-01,2,-3.8072217
1996-06-01,3,55.615593
1996-06-01,4,161.8283
1997-05-19,0,-456.71625
1997-05-19,1,-66.19787
1997-05-19,2,484.8608
1997-05-19,3,-455.60043
1997-05-19,4,-185.06645
1997-05-26,0,-260.3193
1997-05-26,1,439.15546
1997-05-26,2,98.340965
1997-05-26,3,-235.59116
1997-05-26,4,210.83276
1997-05-30,0,-194.61356
1997-05-30,1,-492.00714
1997-05-30,2,282.44244
1997-05-30,3,322.05103
1997-05-30,4,-88.70849
1998-05-22,0,-121.4384
1998-05-22,1,336.21906
1998-05-22,2,-222.60147
1998-05-22,3,-332.22977
1998-05-22,4,-162.01465
1998-05-23,0,-95.48817
1998-05-23,1,390.92303
1998-05-23,2,-63.107944
1998-05-23,3,-283.14374
1998-05-23,4,29.92584
1998-05-25,0,52.07245
1998-05-25,1,320.2045
1998-05-25,2,-76.06493
1998-05-25,3,30.514887
1998-05-25,4,-268.36523
1999-05-17,0,741.2766
1999-05-17,1,-74.20284
1999-05-17,2,288.16367
1999-05-17,3,257.80704
1999-05-17,4,133.2962
1999-05-21,0,178.66805
1999-05-21,1,-64.716286
1999-05-21,2,-140.32019
1999-05-21,3,-25.814386
1999-05-21,4,7.1682153
1999-05-26,0,-999.2243
1999-05-26,1,-33.7928
1999-05-26,2,-132.60219
1999-05-26,3,-187.12799
1999-05-26,4,-29.578035
1999-06-01,0,337.50912
1999-06-01,1,-49.666393
1999-06-01,2,293.7691
1999-06-01,3,93.20094
1999-06-01,4,116.16318
2000-05-18,0,-28.368961
2000-05-18,1,-17.487854
2000-05-18,2,422.73325
2000-05-18,3,-363.75406
2000-05-18,4,210.44518
2000-05-26,0,-530.104
2000-05-26,1,466.36636
2000-05-26,2,-26.96856
2000-05-26,3,-217.97952
2000-05-26,4,-212.60933
2000-05-27,0,-139.01758
2000-05-27,1,23.799261
2000-05-27,2,123.7298
2000-05-27,3,-56.86238
2000-05-27,4,-14.817579
2001-05-21,0,-200.10567
2001-05-21,1,-575.2025
2001-05-21,2,760.0984
2001-05-21,3,1.0576463
2001-05-21,4,509.00806
2001-05-28,0,-586.62573
2001-05-28,1,244.58133
2001-05-28,2,100.72045
2001-05-28,3,425.0948
2001-05-28,4,139.83531
2001-05-29,0,-548.34644
2001-05-29,1,334.2833
2001-05-29,2,-53.785984
2001-05-29,3,159.57892
2001-05-29,4,77.360176
2001-05-30,0,-773.63025
2001-05-30,1,14.655969
2001-05-30,2,-69.75606
2001-05-30,3,-117.980125
2001-05-30,4,-55.886684
2001-05-31,0,-808.87427
2001-05-31,1,-414.91647
2001-05-31,2,-373.17578
2001-05-31,3,-255.52092
2001-05-31,4,55.7954
2002-05-17,0,-374.71896
2002-05-17,1,-93.26072
2002-05-17,2,368.99512
2002-05-17,3,-107.284134
2002-05-17,4,-426.86365
2002-05-24,0,40.203064
2002-05-24,1,266.2901
2002-05-24,2,477.81787
2002-05-24,3,-172.89545
2002-05-24,4,84.776505
2002-05-27,0,-14.810395
2002-05-27,1,-36.979214
2002-05-27,2,245.62064
2002-05-27,3,-88.097916
2002-05-27,4,-228.0694
2002-05-28,0,145.20618
2002-05-28,1,-122.995026
2002-05-28,2,80.31584
2002-05-28,3,75.370926
2002-05-28,4,-6.1819005
2003-05-25,0,-372.65817
2003-05-25,1,-294.86646
2003-05-25,2,-232.21066
2003-05-25,3,327.40775
2003-05-25,4,64.66094
2004-05-17,0,488.6597
2004-05-17,1,-68.999626
2004-05-17,2,321.01965
2004-05-17,3,34.888683
2004-05-17,4,-299.69342
2004-05-23,0,352.9424
2004-05-23,1,372.41122
2004-05-23,2,401.67072
2004-05-23,3,-109.282646
2004-05-23,4,-171.07852
2004-05-25,0,223.85332
2004-05-25,1,329.20343
2004-05-25,2,352.10278
2004-05-25,3,-207.81706
2004-05-25,4,-112.73554
2004-05-26,0,-22.417164
2004-05-26,1,177.38243
2004-05-26,2,630.53
2004-05-26,3,-228.68521
2004-05-26,4,-212.42192
2004-05-27,0,-469.66623
2004-05-27,1,343.51587
2004-05-27,2,693.00256
2004-05-27,3,-122.74315
2004-05-27,4,-289.2929
2004-05-28,0,-556.3859
2004-05-28,1,427.8402
2004-05-28,2,486.55652
2004-05-28,3,187.13043
2004-05-28,4,-484.2646
2004-05-30,0,-298.97437
2004-05-30,1,571.464
2004-05-30,2,413.37262
2004-05-30,3,-273.06763
2004-05-30,4,100.4855
2005-05-18,0,-27.404543
2005-05-18,1,725.75836
2005-05-18,2,46.392475
2005-05-18,3,214.10709
2005-05-18,4,193.93713
2005-05-25,0,-417.16855
2005-05-25,1,-277.6297
2005-05-25,2,-573.7263
2005-05-25,3,539.45154
2005-05-25,4,394.74783
2005-05-31,0,-321.50693
2005-05-31,1,36.615734
2005-05-31,2,-93.18625
2005-05-31,3,11.246278
2005-05-31,4,412.38712
2006-05-30,0,964.71906
2006-05-30,1,-212.45534
2006-05-30,2,-34.473442
2006-05-30,3,86.98561
2006-05-30,4,-0.42853057
2007-05-23,0,607.8531
2007-05-23,1,-31.790735
2007-05-23,2,265.7569
2007-05-23,3,-61.561893
2007-05-23,4,363.51865
2007-05-24,0,805.6558
2007-05-24,1,-319.6806
2007-05-24,2,357.51996
2007-05-24,3,70.12903
2007-05-24,4,223.43224
2007-05-30,0,470.5443
2007-05-30,1,-618.5384
2007-05-30,2,20.931713
2007-05-30,3,-125.10891
2007-05-30,4,162.81989
2007-06-01,0,348.93573
2007-06-01,1,-549.77625
2007-06-01,2,69.598335
2007-06-01,3,-73.72293
2007-06-01,4,270.97733
2008-05-23,0,-405.47928
2008-05-23,1,1431.9872
2008-05-23,2,-40.429222
2008-05-23,3,-765.4311
2008-05-23,4,912.18176
2008-05-24,0,199.35503
2008-05-24,1,1176.5511
2008-05-24,2,-356.89038
2008-05-24,3,-607.33167
2008-05-24,4,581.8197
2008-05-25,0,401.3493
2008-05-25,1,742.52155
2008-05-25,2,-420.3258
2008-05-25,3,-363.927
2008-05-25,4,349.57025
2008-05-26,0,373.44443
2008-05-26,1,427.34787
2008-05-26,2,81.889366
2008-05-26,3,-355.08093
2008-05-26,4,-48.860806
2008-05-27,0,207.32831
2008-05-27,1,356.3056
2008-05-27,2,94.37462
2008-05-27,3,-357.13275
2008-05-27,4,-197.48395
2008-05-28,0,-14.586966
2008-05-28,1,403.70145
2008-05-28,2,-122.59805
2008-05-28,3,-536.8019
2008-05-28,4,-279.48395
2008-05-30,0,112.76273
2008-05-30,1,254.61919
2008-05-30,2,-78.95403
2008-05-30,3,-244.50629
2008-05-30,4,-344.689
2010-05-17,0,257.67642
2010-05-17,1,-113.706375
2010-05-17,2,-207.41985
2010-05-17,3,-45.70237
2010-05-17,4,66.916016
2010-05-19,0,165.92381
2010-05-19,1,105.41581
2010-05-19,2,-29.076984
2010-05-19,3,286.95135
2010-05-19,4,326.21808
2010-05-20,0,85.02757
2010-05-20,1,211.8115
2010-05-20,2,-126.62567
2010-05-20,3,343.44647
2010-05-20,4,270.51273
2010-05-24,0,1424.751
2010-05-24,1,615.07666
2010-05-24,2,-75.85111
2010-05-24,3,68.578384
2010-05-24,4,327.7516
2010-05-25,0,1470.116
2010-05-25,1,201.05049
2010-05-25,2,-97.05059
2010-05-25,3,363.35104
2010-05-25,4,465.6442
2010-05-26,0,1235.5868
2010-05-26,1,100.07942
2010-05-26,2,-341.98245
2010-05-26,3,440.88486
2010-05-26,4,126.89001
2010-06-01,0,297.40717
2010-06-01,1,-27.55952
2010-06-01,2,161.90056
2010-06-01,3,202.40868
2010-06-01,4,-236.15935
2011-05-20,0,477.48102
2011-05-20,1,17.434553
2011-05-20,2,233.61053
2011-05-20,3,-242.35
2011-05-20,4,791.57526
2011-05-22,0,257.56622
2011-05-22,1,-22.297226
2011-05-22,2,236.41322
2011-05-22,3,40.480915
2011-05-22,4,228.13316
2011-05-25,0,-29.53232
2011-05-25,1,199.33598
2011-05-25,2,289.79218
2011-05-25,3,-8.747412
2011-05-25,4,-83.696785
2012-05-20,0,600.43195
2012-05-20,1,-545.7044
2012-05-20,2,10.625743
2012-05-20,3,246.58212
2012-05-20,4,138.55376
2012-05-26,0,950.61145
2012-05-26,1,543.79333
2012-05-26,2,130.67606
2012-05-26,3,-204.38388
2012-05-26,4,-391.3451
2012-05-31,0,-716.1882
2012-05-31,1,-251.14998
2012-05-31,2,330.76904
2012-05-31,3,93.94003
2012-05-31,4,-126.02177
2013-05-19,0,424.3708
2013-05-19,1,-244.75995
2013-05-19,2,-56.574543
2013-05-19,3,-75.6939
2013-05-19,4,37.878174
2013-05-20,0,354.8732
2013-05-20,1,-494.37863
2013-05-20,2,310.21088
2013-05-20,3,-176.8294
2013-05-20,4,272.923
2013-05-21,0,196.76433
2013-05-21,1,-547.7531
2013-05-21,2,402.71478
2013-05-21,3,-2.7516105
2013-05-21,4,154.75648
2013-05-24,0,-59.36563
2013-05-24,1,427.3904
2013-05-24,2,-140.51749
2013-05-24,3,241.90715
2013-05-24,4,-232.35478
2013-05-28,0,191.43547
2013-05-28,1,199.16673
2013-05-28,2,-42.25534
2013-05-28,3,159.07971
2013-05-28,4,-68.11166
2013-05-29,0,347.88037
2013-05-29,1,141.28958
2013-05-29,2,423.7229
2013-05-29,3,125.46611
2013-05-29,4,86.44387
2013-05-30,0,572.62256
2013-05-30,1,172.03102
2013-05-30,2,457.9527
2013-05-30,3,201.72475
2013-05-30,4,140.17224
2013-06-01,0,245.73933
2013-06-01,1,-669.525
2013-06-01,2,532.97327
2013-06-01,3,156.80731
2013-06-01,4,-45.63448
2014-05-22,0,20.270756
2014-05-22,1,-206.50844
2014-05-22,2,-171.57062
2014-05-22,3,-558.29126
2014-05-22,4,-110.55461
2014-05-27,0,192.86676
2014-05-27,1,-566.0614
2014-05-27,2,-429.0688
2014-05-27,3,42.814163
2014-05-27,4,-115.85292
2015-05-17,0,946.17896
2015-05-17,1,54.236137
2015-05-17,2,312.76953
2015-05-17,3,-313.51248
2015-05-17,4,268.06
2015-05-20,0,88.144264
2015-05-20,1,25.544538
2015-05-20,2,246.50534
2015-05-20,3,-497.4425
2015-05-20,4,-119.80638
2015-05-24,0,110.72934
2015-05-24,1,-53.689934
2015-05-24,2,58.364357
2015-05-24,3,-683.596
2015-05-24,4,82.03927
2015-05-25,0,400.97552
2015-05-25,1,-107.56517
2015-05-25,2,269.93555
2015-05-25,3,-398.2991
2015-05-25,4,220.72144
2015-05-27,0,578.9667
2015-05-27,1,-604.7697
2015-05-27,2,276.1541
2015-05-27,3,-46.10036
2015-05-27,4,-197.69127
2015-05-28,0,426.92194
2015-05-28,1,-637.23694
2015-05-28,2,151.37907
2015-05-28,3,-122.72254
2015-05-28,4,-231.89148
2015-05-29,0,472.17978
2015-05-29,1,-816.8592
2015-05-29,2,143.62697
2015-05-29,3,-76.34935
2015-05-29,4,-71.1914
2016-05-17,0,-618.7705
2016-05-17,1,-36.085472
2016-05-17,2,184.96214
2016-05-17,3,-442.8477
2016-05-17,4,159.47025
2016-05-22,0,166.6392
2016-05-22,1,472.90717
2016-05-22,2,-393.2417
2016-05-22,3,79.98794
2016-05-22,4,-9.482765
2016-05-23,0,124.526344
2016-05-23,1,541.7911
2016-05-23,2,-282.5924
2016-05-23,3,306.7434
2016-05-23,4,344.07254
2016-05-24,0,331.90408
2016-05-24,1,541.0723
2016-05-24,2,-26.576033
2016-05-24,3,274.6836
2016-05-24,4,417.459
2016-05-25,0,466.5966
2016-05-25,1,294.08795
2016-05-25,2,-99.21794
2016-05-25,3,-87.612816
2016-05-25,4,-17.627016
2016-05-26,0,578.7374
2016-05-26,1,-223.5154
2016-05-26,2,67.39433
2016-05-26,3,-242.40251
2016-05-26,4,-133.46971
2016-05-27,0,585.9988
2016-05-27,1,-230.45662
2016-05-27,2,316.59567
2016-05-27,3,-45.540768
2016-05-27,4,185.77322
2016-05-28,0,610.9154
2016-05-28,1,-99.46517
2016-05-28,2,450.5326
2016-05-28,3,73.13802
2016-05-28,4,306.4893
